r,2,2,20000,179.339879
re,2,2,20000,0.411316
r,2,2,20000,179.453983
re,2,2,20000,0.396324
r,2,2,20000,179.435606
re,2,2,20000,0.451619
r,2,2,20000,179.418910
re,2,2,20000,0.437280
r,2,2,20000,179.434604
re,2,4,20000,0.421969
r,2,4,20000,89.860033
re,2,4,20000,0.306655
r,2,4,20000,89.794885
re,2,4,20000,0.351032
r,2,4,20000,89.716394
re,2,4,20000,0.371014
r,2,4,20000,89.824108
re,2,4,20000,0.254447
r,2,4,20000,89.775241
re,2,8,20000,0.316233
r,2,8,20000,45.442726
re,2,8,20000,0.321070
r,2,8,20000,45.388104
re,2,8,20000,0.740526
r,2,8,20000,45.445920
re,2,8,20000,0.380588
r,2,8,20000,45.452112
re,2,8,20000,0.329020
r,2,8,20000,45.452582
re,2,16,20000,0.726058
r,2,16,20000,22.646674
re,2,16,20000,0.110215
r,2,16,20000,22.616147
re,2,16,20000,0.194019
r,2,16,20000,22.602828
re,2,16,20000,0.168052
r,2,16,20000,22.605352
re,2,16,20000,0.110315
r,2,16,20000,22.628621
re,2,20,20000,0.552001
r,2,20,20000,18.050533
re,2,20,20000,0.270126
r,2,20,20000,18.065186
re,2,20,20000,0.478732
r,2,20,20000,18.062884
re,2,20,20000,0.110490
r,2,20,20000,18.064359
re,2,20,20000,0.230936
r,2,20,20000,18.063059
re,2,28,20000,0.104934
r,2,28,20000,12.992556
re,2,28,20000,0.486028
r,2,28,20000,12.961913
re,2,28,20000,0.199515
r,2,28,20000,12.971421
re,2,28,20000,0.104403
r,2,28,20000,12.967183
re,2,28,20000,0.119384
r,2,28,20000,12.944044
re,2,32,20000,0.108610
r,2,32,20000,11.358706
re,2,32,20000,0.112504
r,2,32,20000,11.361842
re,2,32,20000,0.109788
r,2,32,20000,11.342985
re,2,32,20000,0.131292
r,2,32,20000,11.356672
re,2,32,20000,0.141651
r,2,32,20000,11.385924
re,2,40,20000,0.106909
r,2,40,20000,9.384675
re,2,40,20000,0.108011
r,2,40,20000,9.385845
re,2,40,20000,0.111437
r,2,40,20000,9.412113
re,2,40,20000,0.107386
r,2,40,20000,9.441293
re,2,40,20000,0.105870
r,2,40,20000,9.404380
re,2,48,20000,0.098977
r,2,48,20000,8.223724
re,2,48,20000,0.108794
r,2,48,20000,8.237827
re,2,48,20000,0.108816
r,2,48,20000,8.228458
re,2,48,20000,0.137963
r,2,48,20000,8.268955
re,2,48,20000,0.153922
r,2,48,20000,8.235376
re,2,56,20000,0.109107
r,2,56,20000,7.279276
re,2,56,20000,0.108695
r,2,56,20000,7.286966
re,2,56,20000,0.106236
r,2,56,20000,7.290863
re,2,56,20000,0.110625
r,2,56,20000,7.293009
re,2,56,20000,0.317391
r,2,56,20000,7.273244
re,2,60,20000,0.108265
r,2,60,20000,6.875800
re,2,60,20000,0.106618
r,2,60,20000,6.950836
re,2,60,20000,0.210718
r,2,60,20000,6.892687
re,2,60,20000,0.303098
r,2,60,20000,6.926648
re,2,60,20000,0.380990
r,2,60,20000,6.901425
re,2,64,20000,0.109154
r,2,64,20000,6.643186
re,2,64,20000,0.106527
r,2,64,20000,6.675574
re,2,64,20000,0.427335
r,2,64,20000,6.613468
re,2,64,20000,0.105521
r,2,64,20000,6.553489
re,2,64,20000,0.106841
r,2,64,20000,6.696496
